Italiano,Romanji,Katana,Libro,Lezione,Tag,Altro...
Akira forse era gentile,Akira san wa shinsetsu datta deshou,あきらさんはしんせつだったでしょう,Speciale,S11,Frase,
Akira forse non era gentile,Akira san wa shinsetsu dewa nakatta deshou,あきらさんはしんせつではなかったでしょう,Speciale,S11,Frase,
Era interessante,Omoshirokatta desu,おもしろかったです,Speciale,S11,Tempi verbali,Formale
Non era interessante,Omoshiroku arimasen deshita,おもしろくありませんでした,Speciale,S11,Tempi verbali,Formale
Forse era interessante,Omoshirokatta deshou,おもしろかったでしょう,Speciale,S11,Tempi verbali,Formale
Forse non era interessante,Omoshiroku nakatta deshou,おもしろくなかったでしょう,Speciale,S11,Tempi verbali,Formale
Era interessante,Omoshirokatta,おもしろかった,Speciale,S11,Tempi verbali,Informale
Non era interessante,Omoshiroku nakatta,おもしろくなかった,Speciale,S11,Tempi verbali,Informale
Forse era interessante,Omoshirokatta darou,おもしろかっただろう,Speciale,S11,Tempi verbali,Informale
Forse non era interessante,Omoshiroku nakatta darou,おもしろくなかっただろう,Speciale,S11,Tempi verbali,Informale
Era importante,Taisetsu deshita,たいせつでした,Speciale,S11,Tempi verbali,Formale
Non era importante,Taisetsu dewa arimasen deshita,たいせつではありませんでした,Speciale,S11,Tempi verbali,Formale
Forse era importante,Taisetsu datta deshou,たいせつだったでしょう,Speciale,S11,Tempi verbali,Formale
Forse non era importante,Taisetsu dewa nakata deshou,たいせつではなかったでしょう,Speciale,S11,Tempi verbali,Formale
Era importante,Taisetsu datta,たいせつだった,Speciale,S11,Tempi verbali,Informale
Non era importante,Taisetsu dewa nakatta,たいせつではなかった,Speciale,S11,Tempi verbali,Informale
Forse era importante,Taisetsu datta darou,たいせつだっただろう,Speciale,S11,Tempi verbali,Informale
Forse non era importante,Taisetsu dewa nakatta darou,たいせつではなかっただろう,Speciale,S11,Tempi verbali,Informale
